Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,1,64,8,100,4030000,162677,0.04036650124069479,3751,31325,127601
No,1,64,8,100,4030000,814001,0.20198535980148882,3751,682606,127644
Yes,2,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,2,64,8,100,4030000,356511,0.08846426799007444,3751,225110,127650
Yes,4,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,4,64,8,100,4030000,254887,0.06324739454094293,3751,123486,127650
Yes,8,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,8,64,8,100,4030000,151380,0.037563275434243176,3751,19979,127650
Yes,16,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,16,64,8,100,4030000,131401,0.03260570719602977,3751,0,127650
Yes,32,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,32,64,8,100,4030000,131401,0.03260570719602977,3751,0,127650
