Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,1,16,100,16120000,4200000,0.26054590570719605,120000,0,4080000
No,2,1,16,100,16120000,4199488,0.2605141439205955,120000,512,4078976
Yes,2,2,16,100,8060000,2100000,0.26054590570719605,60000,0,2040000
No,2,2,16,100,8060000,2099744,0.2605141439205955,60000,256,2039488
Yes,2,4,16,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,2,4,16,100,4030000,1049872,0.2605141439205955,30000,128,1019744
Yes,2,8,16,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,2,8,16,100,4030000,1049872,0.2605141439205955,30000,0,1019872
Yes,2,16,16,100,4030000,525000,0.13027295285359802,15000,0,510000
No,2,16,16,100,4030000,524936,0.13025707196029776,15000,0,509936
Yes,2,32,16,100,4030000,262500,0.06513647642679901,7500,0,255000
No,2,32,16,100,4030000,267708,0.0664287841191067,7500,5240,254968
Yes,2,64,16,100,4030000,131352,0.03259354838709677,3751,0,127601
No,2,64,16,100,4030000,240799,0.05975161290322581,3751,109413,127635
Yes,2,128,16,100,4030000,65727,0.016309429280397022,1876,0,63851
No,2,128,16,100,4030000,441842,0.10963821339950372,1876,376046,63920
Yes,2,256,16,100,4030000,32864,0.008154838709677419,938,0,31926
No,2,256,16,100,4030000,877860,0.21783126550868487,938,0,876922
