Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,64,1,100,4030000,291701,0.07238238213399503,3751,42807,245143
Yes,2,64,1,100,4030000,1164186,0.2888799007444169,3751,29236,1131199
Yes,2,64,2,100,4030000,150430,0.03732754342431762,3751,19078,127601
Yes,2,64,2,100,4030000,1142790,0.2835707196029777,3751,7840,1131199
Yes,2,64,4,100,4030000,140869,0.034955086848635235,3751,9517,127601
Yes,2,64,4,100,4030000,1108133,0.27497096774193547,3751,3956,1100426
Yes,2,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,2,64,8,100,4030000,356511,0.08846426799007444,3751,225110,127650
Yes,2,64,16,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,2,64,16,100,4030000,240799,0.05975161290322581,3751,109413,127635
Yes,2,64,32,100,4030000,131352,0.03259354838709677,3751,0,127601
Yes,2,64,32,100,4030000,194780,0.04833250620347394,3751,63484,127545
Yes,2,64,64,100,4030000,79460,0.01971712158808933,3751,0,75709
Yes,2,64,64,100,4030000,120921,0.030005210918114145,3751,42075,75095
Yes,2,64,128,100,4030000,8464,0.0021002481389578165,3751,1401,3312
Yes,2,64,128,100,4030000,8570,0.0021265508684863523,3751,1619,3200
Yes,2,64,256,100,4030000,3751,0.0009307692307692308,3751,0,0
Yes,2,64,256,100,4030000,3751,0.0009307692307692308,3751,0,0
